TDB企業コード,企業名,所在地,TDB産業大分類,決算期年,決算期月,従業員数,資産合計,流動資産,当座資産,現金.預金,売掛金,棚卸資産,その他流動資産,固定資産,有形固定資産,負債純資産合計,負債合計,流動負債,支払手形,短期借入金,長期借入金,純資産合計,株主資本,利益剰余金,営業収益,営業費用,売上原価,売上総利益,販売費及び一般管理費,役員報酬,給料手当,役員賞与,賞与,減価償却費,営業利益,営業外費用,経常利益,税引前当期純利益,当期純利益,ops
580013351,シキボウ　株式会社,27128_大阪府大阪市中央区,F_製造業,2012,3,575,83490000,17511000,9671000,1827000,5935000,5689000,2209000,65979000,46039000,83490000,55178000,23275000,1382000,10165000,12587000,28311000,16448000,4135000,29263000,26648000,23591000,5672000,3057000,NA,1012000,NA,NA,88000,2615000,1419000,1515000,1249000,488000,8.93619929603937
580385301,株式会社　ワキタ,27106_大阪府大阪市西区,L_サービス業,2012,2,336,83674000,31275000,29007000,13354000,7146000,2145000,532000,52398000,45118000,83674000,19469000,12232000,5592000,NA,NA,64205000,66177000,43239000,40614000,36351000,30713000,9902000,5638000,342000,2260000,NA,NA,247000,4263000,72000,4439000,4119000,2298000,10.4961221223686
530043227,日本毛織　株式会社,27128_大阪府大阪市中央区,F_製造業,2012,11,700,85808000,37636000,16478000,6092000,9252000,11016000,10148000,48172000,25968000,85808000,25715000,12173000,201000,3454000,3029000,60093000,59592000,55597000,33972000,31457000,26548000,7424000,4909000,NA,1178000,NA,505000,174000,2514000,495000,3153000,2321000,1861000,7.40021193924408
580514955,西尾レントオール　株式会社,27128_大阪府大阪市中央区,L_サービス業,2012,9,1339,87900733,37022263,32044961,14682027,12726924,269975,4919707,50878469,33840727,87900733,44128405,27129717,NA,3300000,7228700,43772327,43763659,31035587,57032269,52901870,35902510,21129758,16999360,106262,6621910,NA,NA,659991,4130397,808428,4459525,4034154,2132781,7.24221067273706
580632261,イオンディライト　株式会社,27128_大阪府大阪市中央区,L_サービス業,2012,2,3707,88954000,66828000,34864000,6011000,24754000,1283000,31327000,22126000,2710000,88954000,32466000,32163000,6559000,NA,NA,56488000,55645000,33475000,201501000,188922000,177658000,23842000,11264000,NA,3871000,NA,779000,1099000,12578000,206000,12721000,11898000,6552000,6.24218362282878
580933578,株式会社　カプコン,27128_大阪府大阪市中央区,L_サービス業,2012,3,1698,89730000,50278000,20030000,8006000,12000000,23198000,7635000,39452000,3604000,89730000,33457000,24598000,513000,6500000,6e+06,56272000,56294000,17572000,64159000,58330000,45532000,18626000,12798000,NA,2872000,NA,NA,602000,5828000,769000,5410000,5158000,2447000,9.0838243087378
580455148,トラスコ中山　株式会社,27106_大阪府大阪市西区,G_卸・小売業，飲食店,2012,3,1178,97459000,52848000,33264000,13893000,19371000,18359000,1238000,44610000,41600000,97459000,18918000,16889000,NA,NA,NA,78541000,79688000,7e+07,129912000,121542000,103408000,26504000,18134000,328000,7016000,NA,NA,2050000,8369000,1467000,8315000,7482000,3933000,6.44205308208634
580089547,ロート製薬　株式会社,27116_大阪府大阪市生野区,F_製造業,2012,3,1477,107533000,40675000,25622000,4137000,11714000,11254000,4176000,66857000,23700000,107533000,27714000,26234000,2590000,NA,NA,79818000,76216000,64556000,77509000,66543000,30023000,47486000,36520000,374000,3677000,NA,NA,574000,10965000,152000,11530000,10226000,5591000,14.1467442490549
580037596,京阪神ビルディング　株式会社,27128_大阪府大阪市中央区,I_不動産業,2012,3,34,110521575,5531767,4887591,4547173,340418,NA,644174,104989807,94863642,110521575,72243451,15466064,NA,2700000,37045030,38278124,41324420,26473858,12987642,8729187,7930385,5057256,798802,154430,253275,NA,NA,30167,4258453,1113801,3405930,3188284,1757715,32.7885025463824
580077395,株式会社　エクセディ,27215_大阪府寝屋川市,F_製造業,2012,3,2541,113422000,52551000,41443000,17146000,23879000,6552000,4981000,60870000,25848000,113422000,37082000,26178000,NA,NA,NA,76340000,75886000,61241000,111505000,104955000,93341000,18164000,11614000,3358000,NA,NA,NA,421000,6550000,921000,8501000,7396000,4856000,5.87417604591722
